FeatureResult,Distraction,Attention,BodySpeed,EyesOffScreen,PressesCount,EYEScan,EYEDwell,SingleFastPresses,EEGAB,Targets
0.55353074,0.34294198,0.707227258,0.374867819,0,0,0.064567474,0.019178136,1,0.248154165,mistake
-0.289425116,0.91483441,0.72436024,1,0,0,0.048486931,0.023285917,1,0.316618523,correct
0.849636329,0.176361689,0.746704008,0.192779903,0,0,0.019671989,0.017499725,1,0.42489248,correct
-0.217359317,0.277852001,0.134805205,0.303718354,0,0,0.047996235,0.011712177,0,0.38477704,correct
-0.110400556,0.113922845,0.041266903,0.124528378,0,0,0.045862987,0.007879918,0,0.082324082,correct
0.67039866,0.338259485,0.779456954,0.369749411,0,0,0.049662508,0.009445366,1,0.510950726,correct
-0.927228181,1,0.389779915,0.258496741,0,0.955743672,0.095734092,0.020746353,0,0.743529877,mistake
0.460471831,0.422066421,0.725108504,0.46135827,0,0,0.065242932,0.012001576,1,0.313614072,correct
0.486219373,0.448218785,0.768205637,0.489945262,0,0,0.079641006,0.005645917,1,0.447673356,correct
0.577406066,0.481924556,0.861922474,0.526788838,0,0,0.472338408,0.035463994,1,0.334165016,correct
-0.083496566,0.183402831,0.128452731,0.200476533,0,0,0.218546824,0.014867189,0,0.19012579,correct
0.258805945,0.12253369,0.292857014,0.133940841,0,0,0.476055638,0.216692853,0,0.272872103,mistake
-0.377075845,1,0.751841824,0.23238858,1,0,1,1,0,0.479004818,correct
0.232221764,0.190130675,0.342958627,0.207830699,0,0,0.382019659,0.125490031,0,0.623308073,correct
-0.204250875,0.374058381,0.239638409,0.40888097,0,0,0.193879554,0.019736417,0,0.576529977,correct
-0.40014375,0.641356592,0.378017149,0.701063039,0,0,0.304929984,0.032561713,0,0.908922513,correct
-0.189508484,0.943850683,0.819132856,0.159555967,0.872161546,0,1,1,0,0.70087967,mistake
-0.341695794,0.340029474,0.115155337,0.371684176,0,0,0.199959629,0.013297664,0,0.16643778,correct
0.342204386,0.439512542,0.664721389,0.480428521,0,0,1,1,0,0.191747618,correct
-0.509823155,0.750156723,0.414635936,0.819991809,0,0,0.806170864,0.049310539,0,0.51167383,correct
0.138005587,0.607117205,0.697940352,0.663636171,0,0,0.060160212,0.005857726,1,0.486180937,correct
-0.537087549,0.589526972,0.236063158,0.535388199,0.109020193,0,0.220256154,0.017382316,0,0.540719007,correct
-0.077352092,0.441064711,0.390158363,0.482125187,0,0,0.450379711,0.106467248,0,0.729599779,mistake
-0.81748792,0.75046709,0.212468398,0.820331069,0,0,0.367682275,0.121360637,0,0.211516923,mistake
-0.07575346,0.247099711,0.197245443,0.175815475,0.094287735,0,0.059071166,0.021902667,0,0.569392224,correct
0.83833055,0.417712742,0.96942822,0.45659929,0,0,0.181546655,0.022931746,1,1,correct
0.380054705,0.594928996,0.845047596,0.650313313,0,0,0.121712268,0.02317621,0.945451963,1,correct
-1,1,0.3418879,0.787657819,0,1,0.178055451,0.038726408,0,0.465628246,correct
0.404792496,0.451702607,0.718101446,0.493753407,0,0,0.040672036,0.015883427,1,0.311199149,correct
-0.676104919,0.552986824,0.108033996,0.48817837,0.116288206,0,0.086524479,0.011866878,0,0.257822926,correct
0.203257633,0.290531556,0.424297863,0.317578299,0,0,0.075272575,0.012119355,0.605828891,0.259816349,mistake
-0.207439888,0.276865745,0.140347045,0.302640284,0,0,0.054557361,0.008183428,0,0.400017454,correct
-0.0422242,0.336890828,0.309102571,0.368253341,0,0,0.571882391,0.301294268,0,0.146009477,correct
